DM_max_cosSim,DM_mean_cosSim,DBOW_max_cosSim,DBOW_mean_cosSim,DM_DBOW_max_cosSim,DM_DBOW_mean_cosSim,Annotation
0.62466,0.1798,0.74571,0.64519,0.61969,0.25661,correct_but_incomplete
-0.04819,-0.14762,0.54487,0.50109,0.47294,0.3335,correct
0.08495,-0.00655,0.57399,0.51584,0.56192,0.41287,incorrect
0.85046,0.4082,0.5711,0.3952,0.60448,0.36974,incorrect
0.0054,0.0054,0.66645,0.66645,0.18558,0.18558,incorrect
0.12669,0.07835,0.66626,0.54554,0.39195,0.27494,correct
0.29771,0.13348,0.72479,0.44064,0.57103,0.35332,correct
0.18652,0.02559,0.64053,0.40575,0.54332,0.28795,incorrect
0.99764,0.21716,0.99948,0.21323,0.99885,0.20674,correct
0.18599,0.09144,0.43992,0.35305,0.4378,0.31045,correct_but_incomplete
0.45859,0.23326,0.78352,0.56285,0.77033,0.52414,incorrect
0.20941,-0.07996,0.70031,0.53277,0.69851,0.46801,incorrect
0.16508,-0.08986,-0.08421,-0.14754,-0.02712,-0.08568,correct_but_incomplete
0.42144,0.27468,0.36011,0.24175,0.33619,0.27134,correct_but_incomplete
0.25674,0.02548,0.67486,0.64861,0.61618,0.46881,correct_but_incomplete
0.02526,-0.08802,0.80406,0.72435,0.78953,0.52508,correct_but_incomplete
0.00452,-0.07986,0.69542,0.48965,0.69442,0.48314,incorrect
0.82286,0.45842,0.65699,0.44607,0.61962,0.43323,correct
0.02935,-0.04055,0.67206,0.48151,0.6652,0.39688,correct_but_incomplete
-0.12686,-0.24215,0.54373,0.38737,0.51646,0.28827,incorrect
0.1236,-0.02098,0.78422,0.57714,0.76877,0.47564,correct
0.13147,-0.18446,0.54298,0.31424,0.4224,0.22764,correct_but_incomplete
0.0919,0.03851,0.57311,0.34144,0.45531,0.20742,correct_but_incomplete
0.31169,0.03753,0.75999,0.47044,0.60856,0.35594,correct
0.04935,0.04456,0.58213,0.5705,0.55872,0.34348,correct
0.32108,0.16052,0.69048,0.46764,0.63149,0.4277,incorrect
0.94437,0.31413,0.62514,0.47574,0.57934,0.40496,incorrect
0.74221,0.23626,0.62488,0.35825,0.57635,0.3126,correct_but_incomplete
0.01666,-0.01729,0.79884,0.52896,0.55246,0.31661,correct
0.22606,0.05313,0.55851,0.30101,0.12162,0.08721,incorrect
0.33217,0.06651,0.72307,0.56369,0.69329,0.51668,contradictory
0.2846,0.02791,0.60123,0.3433,0.52173,0.29185,incorrect
0.35048,0.09815,0.64316,0.35634,0.56246,0.23481,correct_but_incomplete
0.33339,0.14774,0.62258,0.5264,0.57914,0.34886,correct
0.13573,-0.00275,0.105,0.06306,0.07391,0.0339,correct
0.21523,0.0992,0.26803,0.2398,0.2007,0.19114,correct_but_incomplete
0.12394,-0.00754,0.78355,0.62965,0.62561,0.52892,incorrect
0.33114,0.00604,0.7068,0.46292,0.53357,0.27947,correct
0.14273,-0.0744,0.51807,0.35531,0.14566,0.04813,incorrect
0.06744,0.0108,0.54767,0.41266,0.26011,0.1606,correct
0.06993,0.03418,-0.01433,-0.05532,-0.01015,-0.03846,correct
0.32425,0.14509,0.6438,0.38902,0.38346,0.25859,contradictory
-0.0461,-0.0461,0.50685,0.50685,0.46136,0.46136,contradictory
0.03226,0.01067,0.04431,0.01595,0.02721,0.00812,correct_but_incomplete
0.73115,0.28947,0.69737,0.58217,0.59718,0.46565,correct
0.38718,0.00762,0.72888,0.64918,0.68602,0.57579,contradictory
0.13382,0.01337,0.69309,0.36271,0.57544,0.29283,correct
0.13483,0.05213,0.37034,0.25916,0.22666,0.14803,incorrect
0.12908,0.12908,0.36304,0.36304,0.2878,0.2878,incorrect
0.24651,0.0645,0.77288,0.52057,0.73901,0.51011,correct_but_incomplete
0.13663,0.08754,0.53248,0.49847,0.52194,0.46401,correct_but_incomplete
0.09114,0.07022,0.74521,0.64825,0.61512,0.47045,correct
0.02495,-0.09257,0.57727,0.25839,0.53584,0.19773,incorrect
0.42865,0.16469,0.56363,0.42303,0.50763,0.35452,contradictory
0.1816,0.1108,0.62995,0.53951,0.44664,0.41295,correct_but_incomplete
0.11761,-0.0213,0.52305,0.36078,0.48183,0.30831,correct
0.14502,0.04869,0.37923,0.09982,0.2804,0.09726,correct
0.02974,-0.04322,0.68,0.49673,0.53387,0.37674,correct
0.33706,0.07247,0.80797,0.61141,0.79022,0.38335,incorrect
0.11844,-0.05339,0.76415,0.63914,0.75062,0.43036,incorrect
0.40897,0.18797,0.64731,0.60636,0.5304,0.5097,correct
0.31075,0.06415,0.55277,0.3209,0.3132,0.17981,correct_but_incomplete
0.38366,0.22656,0.63787,0.28185,0.45893,0.26961,correct
-0.08102,-0.08102,0.4958,0.4958,0.13216,0.13216,incorrect
0.09112,0.01414,0.47038,0.39536,0.45726,0.3692,incorrect
0.03864,-0.04017,0.03013,-0.02362,0.02191,-0.0291,incorrect
0.12283,-0.00719,0.59477,0.48744,0.58325,0.36372,correct_but_incomplete
0.05726,0.02842,0.00792,-0.01375,0.02513,0.00557,correct
0.06904,0.06119,0.70125,0.61713,0.5323,0.50701,incorrect
0.87781,0.46027,0.7443,0.50906,0.66819,0.43369,correct_but_incomplete
0.15672,0.08299,0.64489,0.35652,0.26636,0.17892,correct
0.05376,-0.0141,0.46325,0.37933,0.42983,0.35144,correct
0.38938,0.27122,0.45214,0.39829,0.4223,0.32513,incorrect
0.09644,0.01131,0.35255,0.24132,0.25547,0.1225,incorrect
0.10147,-0.03319,0.6194,0.48152,0.46578,0.27975,correct_but_incomplete
0.13055,0.05867,0.54611,0.30313,0.34543,0.12281,correct
0.44184,0.0048,0.77274,0.61593,0.69973,0.40818,incorrect
0.23247,-0.04341,0.7448,0.51878,0.52816,0.26128,incorrect
0.62517,0.10649,0.6289,0.3908,0.46573,0.25584,incorrect
0.30558,0.04076,0.72808,0.62989,0.56159,0.47693,correct_but_incomplete
0.29604,0.02861,0.57288,0.41634,0.57262,0.41269,contradictory
0.13548,-0.06652,0.54612,0.41035,0.46016,0.21582,correct_but_incomplete
0.37504,0.14243,0.78135,0.49863,0.75547,0.48252,correct
0.11748,-0.046,0.60763,0.43059,0.37593,0.28088,correct_but_incomplete
-0.04877,-0.17162,0.60813,0.37861,0.51581,0.20776,correct
0.29488,0.11876,0.4545,0.27199,0.34619,0.19449,correct_but_incomplete
0.32465,-0.02609,0.53161,0.37068,0.43988,0.20883,correct
0.313,0.14529,0.3876,0.26672,0.27694,0.21606,correct_but_incomplete
0.24924,0.24924,0.47916,0.47916,0.4774,0.4774,incorrect
0.0335,-0.02391,0.52554,0.43094,0.33891,0.22461,correct_but_incomplete
-0.01215,-0.04624,0.82628,0.76632,0.76277,0.49351,correct
0.31945,0.08275,0.74314,0.3572,0.72573,0.34009,correct
0.13615,0.00724,0.37015,0.24799,0.28679,0.17902,correct
0.01823,0.01823,0.47988,0.47988,0.19345,0.19345,correct
0.24454,0.16316,0.65084,0.43291,0.56003,0.33842,correct_but_incomplete
0.22351,-0.11184,0.72978,0.42673,0.56877,0.30301,contradictory
0.05874,-0.04774,0.71278,0.39359,0.70153,0.38542,contradictory
0.0795,-0.02907,0.58089,0.24342,0.57698,0.19003,contradictory
0.13142,0.13142,0.63065,0.63065,0.4286,0.4286,correct
0.19223,0.06953,0.49982,0.2221,0.39926,0.18944,correct
0.25088,0.10242,0.61025,0.4476,0.48161,0.35984,incorrect
0.64926,0.13575,0.59628,0.24185,0.49588,0.19411,contradictory
0.64405,0.15124,0.75547,0.559,0.65873,0.42778,correct_but_incomplete
0.20695,0.10844,0.62508,0.47522,0.51528,0.35167,correct
0.14584,-0.0026,0.6307,0.56113,0.6066,0.4381,correct
0.28516,0.19262,0.64711,0.5279,0.50876,0.41916,correct
0.04178,-0.00025,0.04481,0.00687,0.0417,0.00679,incorrect
0.76695,0.30869,0.70311,0.46674,0.74578,0.31617,correct
0.34829,0.19529,0.44326,0.42272,0.40816,0.30359,correct
0.17994,0.02125,0.74764,0.54963,0.70446,0.37204,correct_but_incomplete
0.36245,0.07291,0.55792,0.51747,0.53854,0.48549,incorrect
-0.18922,-0.18922,0.46716,0.46716,0.40905,0.40905,correct
0.17687,0.03383,0.78317,0.57626,0.76969,0.5183,contradictory
0.48216,0.28947,0.7586,0.51714,0.43151,0.33167,correct
0.33513,0.18474,0.52214,0.36965,0.41345,0.27972,contradictory
0.29568,0.09952,0.78674,0.4307,0.52261,0.26307,incorrect
0.08584,0.02082,0.31087,0.2596,0.22651,0.17245,correct
-0.07335,-0.07335,0.57254,0.57254,0.41809,0.41809,correct
0.36977,0.17029,0.80771,0.61334,0.732,0.42895,correct_but_incomplete
0.28623,0.07377,0.75035,0.57192,0.57725,0.38827,correct
0.24937,0.06538,0.07773,-0.00601,0.2493,0.03484,incorrect
0.1001,0.00626,0.09248,0.06895,0.07692,0.04179,correct
0.41209,0.15397,0.02004,0.0003,0.22394,0.08201,incorrect
0.30249,0.05258,0.03148,-0.08349,0.16566,0.03649,contradictory
0.36884,0.12072,0.69292,0.30452,0.54952,0.1682,correct
0.10968,-0.01198,0.53148,0.42375,0.44403,0.29751,incorrect
0.35706,-0.0016,0.63335,0.458,0.55511,0.39461,contradictory
0.514,0.22158,0.70388,0.54948,0.69975,0.51711,correct_but_incomplete
0.16372,0.12235,0.57766,0.35864,0.50542,0.30688,correct
0.30136,0.09815,0.7408,0.41632,0.57315,0.32667,incorrect
0.04958,0.03151,0.03646,0.01844,0.02157,0.01792,correct
0.07285,0.00968,0.04356,-0.0254,0.03619,-0.0174,correct
0.17264,0.02644,0.72806,0.48915,0.71661,0.42453,incorrect
0.39142,0.06704,0.43472,0.16481,0.33557,0.18893,correct_but_incomplete
-0.19319,-0.19319,0.63564,0.63564,0.53022,0.53022,incorrect
-0.09419,-0.31781,0.74494,0.60668,0.67002,0.44801,incorrect
0.06182,-0.06023,0.46722,0.25164,0.30272,0.16978,correct
0.61763,0.37566,0.7352,0.39122,0.60184,0.42379,correct
0.06671,0.03082,0.78419,0.63882,0.3154,0.2291,correct
0.31951,0.13378,0.59335,0.4957,0.59288,0.40768,contradictory
0.48506,0.04281,0.55744,0.35249,0.44284,0.22217,contradictory
0.63833,0.1294,0.77397,0.65562,0.71308,0.51417,correct
0.53022,0.03652,0.65331,0.43954,0.59944,0.32044,incorrect
0.78463,0.29663,0.80468,0.48906,0.69493,0.40793,incorrect
0.30047,-0.05588,0.77222,0.52132,0.64939,0.39255,incorrect
0.36005,0.21304,0.80654,0.45545,0.72046,0.38015,correct
-0.00489,-0.10397,0.62816,0.2224,0.59448,0.19762,incorrect
-0.01635,-0.03973,0.29397,0.24951,0.01903,0.00276,correct
0.38847,0.17708,0.57592,0.39379,0.48359,0.29722,correct
0.2604,0.0917,0.79638,0.5021,0.685,0.37645,correct
0.31879,0.11272,0.70948,0.30354,0.39024,0.19843,contradictory
-0.0157,-0.0325,-0.00032,-0.0276,-0.00934,-0.02596,correct
0.10005,0.0193,0.10007,0.03656,0.04756,0.02379,contradictory
0.00684,-0.00499,0.69567,0.63123,0.6613,0.48754,correct_but_incomplete
0.30766,0.09642,0.44811,0.27625,0.28846,0.15248,contradictory
0.47914,0.06083,0.70282,0.4538,0.64642,0.3543,contradictory
0.44168,0.28474,0.65865,0.49566,0.65192,0.40887,correct_but_incomplete
0.16205,0.04178,0.63558,0.3293,0.39787,0.1782,contradictory
0.09809,0.09718,0.44349,0.38531,0.31583,0.24614,correct
0.06322,0.03965,0.56602,0.51248,0.48565,0.43239,correct
0.08545,-0.16721,0.1375,0.04135,0.0366,-0.09959,correct
0.04333,0.01061,0.6832,0.5654,0.19709,0.16624,incorrect
0.44627,0.19897,0.75726,0.3783,0.69445,0.2974,correct_but_incomplete
0.14244,0.04528,0.71296,0.44414,0.69207,0.41363,contradictory
0.38734,0.08196,0.62732,0.3233,0.61228,0.26302,incorrect
0.39473,0.39473,0.77505,0.77505,0.46058,0.46058,correct_but_incomplete
0.28444,0.08051,0.4745,0.25854,0.39291,0.20723,contradictory
0.32196,0.16708,0.71149,0.64768,0.69672,0.58644,incorrect
0.22375,-0.02961,0.7349,0.525,0.64039,0.3989,incorrect
0.7531,0.23888,0.7707,0.60804,0.44108,0.21124,correct
-0.06237,-0.06237,0.53642,0.53642,0.43009,0.43009,correct_but_incomplete
0.06551,0.01216,0.11137,0.07306,0.08835,0.03704,correct
0.01797,-0.09772,0.61871,0.42298,0.57763,0.38179,incorrect
0.12719,0.0663,0.5435,0.32924,0.32928,0.22565,correct_but_incomplete
0.21464,0.03548,0.72802,0.47672,0.65587,0.19348,incorrect
0.10885,0.09955,0.55976,0.43526,0.30313,0.24286,correct_but_incomplete
0.998,0.38305,0.66823,0.50082,0.62231,0.18297,correct_but_incomplete
0.01399,-0.0007,0.57898,0.3161,0.48279,0.26012,correct
0.18242,0.1636,0.43933,0.36791,0.26819,0.21436,correct_but_incomplete
0.17237,0.17237,0.62927,0.62927,0.48042,0.48042,incorrect
0.14172,0.03713,0.5566,0.30172,0.36282,0.17536,incorrect
0.51583,0.33631,0.62736,0.40511,0.40684,0.31134,correct_but_incomplete
0.51099,0.21903,0.55624,0.30981,0.54823,0.29547,incorrect
0.50654,0.20505,0.65136,0.39506,0.39127,0.20645,incorrect
0.86955,0.14676,0.68096,0.42958,0.68042,0.37509,correct
0.10176,0.01847,0.05559,-0.00291,0.07102,0.01551,correct
0.3606,0.1736,0.55515,0.35123,0.39894,0.23069,correct
0.25103,0.12827,0.57293,0.50869,0.37662,0.33706,correct
0.01188,0.00902,0.58293,0.3556,0.50787,0.29935,incorrect
0.40258,0.26432,0.60305,0.41981,0.45417,0.33826,correct
0.13096,0.13096,0.51745,0.51745,0.50071,0.50071,incorrect
-0.09772,-0.09772,-0.00183,-0.00183,-0.01537,-0.01537,correct_but_incomplete
0.27285,0.17136,0.57833,0.47132,0.44022,0.32491,correct
0.29513,0.09268,0.67469,0.66302,0.61175,0.59811,correct
0.4407,0.10162,0.67561,0.55348,0.51166,0.44606,correct
0.54795,0.48012,0.72629,0.5591,0.59948,0.52406,correct_but_incomplete
0.40269,0.1035,0.47258,0.34379,0.37519,0.24858,incorrect
0.82562,0.29613,0.79131,0.5156,0.5655,0.36061,correct
0.117,0.00719,0.43184,0.36021,0.32041,0.25092,incorrect
0.3484,0.07558,0.70228,0.5581,0.62974,0.46175,incorrect
0.2594,0.05839,0.59097,0.53649,0.53346,0.49017,correct
0.57909,0.10728,0.77851,0.60431,0.75414,0.50752,correct
0.62162,0.14816,0.7313,0.50352,0.67989,0.4299,correct_but_incomplete
0.09096,0.02268,0.68977,0.68004,0.66568,0.47633,correct_but_incomplete
0.36315,0.0228,0.65944,0.50488,0.45431,0.27588,incorrect
0.18598,0.13306,0.03159,0.0086,0.13123,0.04349,incorrect
0.2508,0.08343,0.54497,0.22186,0.30371,0.09589,correct
0.07753,-0.05568,0.56123,0.31337,0.51669,0.26615,correct
0.41763,0.09312,0.63957,0.38066,0.61829,0.35374,correct
0.60961,0.38166,0.45534,0.3926,0.3517,0.28332,correct
0.41467,0.24653,0.57907,0.46336,0.35808,0.26457,correct
-0.05603,-0.05603,0.49427,0.49427,0.46257,0.46257,incorrect
0.13045,0.03484,0.77625,0.46285,0.54373,0.34161,incorrect
0.26404,0.03978,0.73613,0.65315,0.69236,0.59916,correct
0.24768,0.03654,0.67809,0.47341,0.67618,0.42004,correct
0.47669,0.16921,0.52825,0.3221,0.43498,0.23629,correct
0.01184,-0.009,0.08955,0.04892,0.06093,0.01378,correct
0.28775,0.08029,0.53156,0.24878,0.41938,0.19218,incorrect
0.22867,0.14888,0.59322,0.40778,0.42568,0.29697,incorrect
0.38306,0.03551,0.66891,0.39213,0.57086,0.25469,correct
0.23356,0.21103,0.61462,0.60925,0.60375,0.53397,correct_but_incomplete
0.26611,0.1387,0.03713,0.02058,0.26584,0.09083,contradictory
0.21381,0.05054,0.68696,0.53569,0.52339,0.29102,contradictory
0.22419,-0.10503,0.62752,0.53107,0.56838,0.42764,correct_but_incomplete
0.09043,-0.00493,0.08327,0.03085,0.0253,0.00755,incorrect
0.05501,0.01242,0.63639,0.51189,0.59083,0.36389,correct
-0.06234,-0.06234,0.62248,0.62248,0.58496,0.58496,correct
0.19519,-0.05331,0.54698,0.45866,0.52771,0.38927,correct
0.13124,0.07502,0.69146,0.52839,0.54971,0.32232,correct
0.14756,0.05873,0.78936,0.53415,0.72915,0.45618,contradictory
0.22219,0.07028,0.70074,0.58702,0.57983,0.26552,contradictory
0.19923,-0.0404,0.70969,0.43082,0.65482,0.34513,incorrect
-0.00592,-0.2322,0.73985,0.59168,0.70829,0.47526,incorrect
0.33238,0.11683,0.66829,0.52924,0.61876,0.40701,correct_but_incomplete
0.30355,0.08578,0.72655,0.51734,0.55159,0.31725,correct_but_incomplete
0.08173,0.00769,0.55281,0.38621,0.3448,0.20005,contradictory
0.39758,0.03272,0.65576,0.35929,0.64541,0.27619,incorrect
-0.02662,-0.05298,0.50924,0.28732,0.43169,0.20352,correct_but_incomplete
0.04124,-0.01295,0.65636,0.3273,0.64796,0.26346,contradictory
0.03059,0.0068,0.57311,0.51954,0.57261,0.29405,incorrect
0.0617,-0.01594,0.59533,0.40908,0.34755,0.23453,correct
-0.03394,-0.07631,0.67082,0.40121,0.54383,0.17051,correct_but_incomplete
0.20704,0.07856,0.59669,0.58473,0.59302,0.58244,correct_but_incomplete
0.06308,0.00755,0.62164,0.56144,0.52225,0.47104,incorrect
0.51511,0.22256,0.71091,0.56973,0.51625,0.25682,correct
0.20812,0.05504,0.0032,-0.03649,0.02597,-0.00236,correct_but_incomplete
0.74237,0.12461,0.81964,0.61417,0.3012,0.11975,contradictory
-0.07019,-0.1241,0.64548,0.33636,0.6452,0.38115,correct
0.04062,-0.01334,0.67142,0.31011,0.65973,0.15504,correct
0.35688,0.1792,0.68104,0.54676,0.64542,0.33931,correct
0.12245,0.06034,0.73204,0.36736,0.70563,0.33465,correct
0.04112,-0.137,0.06948,0.03123,0.02744,-0.02285,incorrect
0.39012,0.22418,0.67027,0.62223,0.551,0.36668,incorrect
0.01354,-0.0327,-0.07241,-0.08486,-0.00657,-0.03967,correct
-0.05523,-0.19771,0.55728,0.34172,0.39797,0.10595,incorrect
0.0966,0.04264,0.38635,0.3406,0.32485,0.28805,incorrect
0.20046,0.07958,0.7272,0.45036,0.51431,0.31376,incorrect
0.03195,-0.04952,0.56992,0.45146,0.35568,0.24932,correct
0.33514,0.22515,0.46978,0.41158,0.33877,0.3112,correct_but_incomplete
-0.01943,-0.0219,0.72734,0.396,0.72347,0.38398,correct
0.15004,-0.03348,0.7073,0.50634,0.70589,0.47906,correct_but_incomplete
0.11206,-0.0399,0.80561,0.52239,0.74676,0.41989,correct_but_incomplete
0.12352,0.03258,0.52727,0.39918,0.38293,0.24585,correct
0.05709,-0.0087,0.60866,0.57028,0.60796,0.51069,correct_but_incomplete
0.0388,0.0388,0.0115,0.0115,0.01693,0.01693,correct
0.0299,-0.02921,0.60495,0.50839,0.58401,0.39456,correct
0.44546,0.31767,0.05576,0.00636,0.43629,0.30245,correct
0.1367,0.10729,-0.03789,-0.05488,0.00711,-0.00712,correct_but_incomplete
0.16703,0.08731,0.6564,0.50238,0.36742,0.26209,incorrect
0.28895,0.07752,0.74171,0.50775,0.72128,0.48161,incorrect
0.11858,0.10173,0.73292,0.70836,0.13818,0.12884,correct
0.26347,0.04614,0.66989,0.48307,0.55857,0.41237,contradictory
0.02831,0.02831,0.46511,0.46511,0.35859,0.35859,correct_but_incomplete
-0.00345,-0.02235,0.69846,0.60983,0.66716,0.48867,incorrect
0.03953,-0.14356,0.63443,0.43951,0.38503,0.12568,correct_but_incomplete
0.03718,0.00636,0.79216,0.74206,0.79019,0.72105,correct
0.16598,-0.01094,0.4549,0.35904,0.40289,0.31659,incorrect
0.18658,-0.02902,0.59153,0.43266,0.4906,0.27559,incorrect
0.46666,0.26378,0.66313,0.58202,0.38425,0.29717,correct
0.26578,-0.05868,0.72303,0.52947,0.32024,0.23183,contradictory
0.55084,0.21824,0.67696,0.488,0.66538,0.39536,correct
0.82582,0.35738,0.63633,0.5393,0.37553,0.24826,correct
0.44692,0.11725,0.68867,0.4704,0.43534,0.16751,correct
0.79759,0.32154,0.84734,0.55859,0.56542,0.48651,incorrect
0.09168,0.01709,0.43127,0.29151,0.39988,0.25991,correct
0.01126,-0.09026,0.64707,0.54201,0.54347,0.37402,incorrect
0.71301,0.45367,0.68347,0.62317,0.63429,0.55664,correct
0.23088,0.03077,0.65711,0.50941,0.52927,0.32539,incorrect
0.05351,0.01143,0.76278,0.3292,0.67558,0.28545,incorrect
0.52744,0.15671,0.81614,0.50325,0.6953,0.38697,correct_but_incomplete
0.19863,0.142,0.45358,0.37194,0.18712,0.07994,incorrect
0.28204,0.09019,0.62939,0.54427,0.47199,0.33291,correct
0.25251,0.11756,0.66757,0.5229,0.63315,0.49696,incorrect
0.06469,-0.05938,0.64339,0.41257,0.46978,0.22827,incorrect
0.35391,0.09422,0.35683,0.06738,0.30206,0.10972,correct
0.21494,0.11816,0.69614,0.61162,0.54272,0.47799,correct
0.11107,-0.08076,0.4871,0.30271,0.32264,0.24718,incorrect
0.11621,0.02573,0.61887,0.389,0.58497,0.20592,incorrect
0.27244,0.13923,0.65023,0.61655,0.60817,0.5789,incorrect
0.29426,0.13663,0.57677,0.4344,0.48917,0.32199,incorrect
